,0,1
0,"Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Light Blue","455,01 Lei"
1,"Pachet promo: Telefon mobil Motorola Edge 30 Ultra, Dual SIM, 256GB, 12GB RAM, 5G, Interstellar Black + Pachet Ceas Inteligent Lenovo Clock 2 Grey + stand birou wireless","2.474,98 Lei"
2,"Telefon mobil Motorola Moto g72, Dual SIM, 128GB, 8GB RAM, Meteorite Grey","799,99 Lei"
3,"Telefon mobil Apple iPhone 13, 128GB, 5G, Starlight","3.249,99 Lei"
4,"Telefon mobil Motorola Edge 40 Neo, Dual SIM, 256GB, 12GB RAM, 5G, Black Beauty","1.599,99 Lei"
5,"Telefon mobil Apple iPhone 13, 128GB, 5G, Pink","3.249,99 Lei"
6,"Telefon mobil Samsung Galaxy S22, Dual SIM, 256GB, 8GB RAM, 5G, Phantom Black","2.879,99 Lei"
7,"Telefon mobil Motorola Moto g72, Dual SIM, 128GB, 8GB RAM, Meteorite Grey","799,99 Lei"
8,"Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Black","475,00 Lei"
9,"Telefon mobil Apple iPhone 15, 128GB, 5G, Black","4.424,86 Lei"
10,"Telefon mobil Motorola Edge 40, Dual SIM, 8GB RAM, 256GB, 5G, Leather Eclipse Black","1.499,99 Lei"
11,"Telefon mobil Samsung Galaxy A04s, 32GB, 3GB RAM, 4G, Black","597,81 Lei"
12,"Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Copper","475,00 Lei"
13,"Telefon mobil Motorola razr 40 ultra, Dual SIM, 8GB RAM, 256GB, 5G, Peach Fuzz","4.299,99 Lei"
14,"Telefon mobil Samsung Galaxy S10, Dual SIM, 128GB, 8GB RAM, 4G, Prism White","1.817,38 Lei"
15,"Telefon mobil Samsung Galaxy S21 FE, Dual SIM, 6GB RAM, 128GB, 5G, Graphite","2.189,50 Lei"
16,"Telefon mobil Motorola Edge 40 Neo, Dual SIM, 256GB, 12GB RAM, 5G, Peach Fuzz","1.699,99 Lei"
17,"Telefon mobil Apple iPhone 13, 128GB, 5G, Blue","3.299,99 Lei"
18,"Telefon mobil Apple iPhone 13, 128GB, 5G, Green","3.299,99 Lei"
19,"Telefon mobil Motorola Edge 40 Neo, Dual SIM, 256GB, 12GB RAM, 5G, Caneel Bay","1.599,99 Lei"
20,"Telefon mobil Samsung Galaxy S23 Ultra, Dual SIM, 512GB, 12GB RAM, 5G, Phantom Black","6.140,76 Lei"
21,"Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Matte Charcoal","502,99 Lei"
22,"Telefon mobil, Alcatel, 2020X, Dual SIM, Gri metalic","255,85 Lei"
23,"Telefon mobil Apple iPhone 13, 128GB, 5G, Midnight","3.299,99 Lei"
24,"Telefon mobil Motorola Edge 40, Dual SIM, 8GB RAM, 256GB, 5G, Leather Eclipse Black","1.499,99 Lei"
25,"Telefon mobil Motorola Moto g54, Power Edition, 256GB, 12GB RAM, 5G, Pearl Blue","1.199,99 Lei"
26,"Telefon mobil Samsung Galaxy A23, 4GB RAM, 64GB, 5G , White","1.057,71 Lei"
27,"Pachet promo: Telefon mobil Motorola Edge 30 Ultra, Dual SIM, 256GB, 12GB RAM, 5G, Interstellar Black + Pachet Ceas Inteligent Lenovo Clock 2 Grey + stand birou wireless","2.474,98 Lei"
28,"Telefon mobil Motorola Edge 40, Dual SIM, 8GB RAM, 256GB, 5G, Leather Nebula Green","1.499,99 Lei"
29,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Silver","696,10 Lei"
30,"Telefon mobil Apple iPhone 15, 128GB, 5G, Pink","4.609,99 Lei"
31,"Telefon mobil Motorola Edge 30, Dual SIM, 256GB, 8GB RAM, 5G, Meteor Grey","1.299,99 Lei"
32,"Telefon mobil Samsung Galaxy S10+, Dual SIM, 128GB, 8GB RAM, 4G, Ceramic Prism Black","1.752,00 Lei"
33,"Telefon mobil Apple iPhone 12, 128GB, 5G, Black","2.949,99 Lei"
34,"Telefon mobil Motorola razr 40 ultra, Dual SIM, 8GB RAM, 256GB, 5G, Viva Magenta","3.999,99 Lei"
35,"Telefon mobil Nokia 110 (2023), Dual SIM, Charcoal","127,71 Lei"
36,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Light Green","686,05 Lei"
37,"Telefon mobil Nokia 150 (2023), Dual SIM, Black","182,26 Lei"
38,"Telefon mobil Apple iPhone 15 Pro Max, 256GB, 5G, Blue Titanium","7.189,99 Lei"
39,"Telefon mobil Apple iPhone 14, 128GB, 5G, Blue","3.869,99 Lei"
40,"Telefon mobil Samsung Galaxy A23, 4GB RAM, 64GB, 5G, Light Blue","1.034,47 Lei"
41,"Telefon mobil Apple iPhone 14, 128GB, 5G, Purple","3.799,99 Lei"
42,"Telefon mobil Samsung Galaxy S23 Ultra, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black","4.999,98 Lei"
43,"Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM, 128GB, 5G, Awesome Lime","1.649,99 Lei"
44,"Telefon mobil Samsung Galaxy A34, Dual SIM, 6GB RAM, 128GB, 5G, Light Green","1.375,01 Lei"
45,"Telefon mobil Samsung Galaxy A34, Dual SIM, 6GB RAM, 128GB, 5G, Black","1.350,01 Lei"
46,"Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM,256GB, 5G, Awesome Graphite","1.851,19 Lei"
47,"Telefon mobil Apple iPhone 11, 128GB, Black","2.699,99 Lei"
48,"Telefon mobil Motorola Edge 40 Neo, Dual SIM, 256GB, 12GB RAM, 5G, Caneel Bay","1.599,99 Lei"
49,"Telefon mobil pentru seniori, dual sim, color, taste mari, buton SOS, bluetooth, lanterna, radio, negru","220,00 Lei"
50,"Telefon mobil Samsung Galaxy A34, Dual SIM, 8GB RAM, 256GB, 5G, Black","1.635,77 Lei"
51,"Telefon mobil Motorola Moto g84, Dual SIM, 256GB, 12GB RAM, 5G, Midnight Blue","1.399,99 Lei"
52,"Telefon mobil Apple iPhone 15, 128GB, 5G, Blue","4.609,99 Lei"
53,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Black","685,04 Lei"
54,"Telefon mobil Nothing Phone(1), 256GB, 8GB RAM, 5G, Black","1.699,99 Lei"
55,"Telefon mobil Samsung Galaxy A23, 4GB RAM, 128GB, 5G, Black","1.189,49 Lei"
56,"Telefon mobil OPPO Reno7 Lite, Dual SIM, 128GB, 8GB RAM, 5G, Cosmic Black","999,99 Lei"
57,"Telefon mobil MaxCom Comfort MM 426, Dual SIM, Black + Stand incarcare","128,25 Lei"
58,"Telefon mobil realme 11 Pro+, Dual SIM, 12GB RAM, 512GB, 5G, Sunrise Beige","1.899,99 Lei"
59,"Telefon mobil Samsung Galaxy A34, Dual SIM, 6GB RAM, 128GB, 5G, Silver","1.370,00 Lei"
60,"Telefon mobil Samsung Galaxy S21, Dual SIM, 128GB, 8GB RAM, 5G, Phantom Grey","2.649,00 Lei"
61,"Telefon mobil Motorola Moto e13, Dual SIM, 64GB, 2GB RAM, Cosmic Black","374,98 Lei"
62,"Telefon mobil motorola razr 40, Dual SIM, 8GB RAM, 256GB, 5G, Sage Green","2.999,99 Lei"
63,"Telefon mobil Apple iPhone 12, 64GB, 5G, Black","2.649,99 Lei"
64,"Telefon mobil Huawei P30 Lite, Dual SIM, 128GB, 4G, Midnight Black","760,80 Lei"
65,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Light Green","819,01 Lei"
66,"Telefon mobil Samsung Galaxy A23, 4GB RAM, 64GB, 5G, Black","1.043,14 Lei"
67,"Telefon mobil Apple iPhone 14, 128GB, 5G, Midnight","3.849,99 Lei"
68,"Telefon mobil Apple iPhone 15 Pro, 256GB, 5G, Black Titanium","6.529,99 Lei"
69,"Telefon mobil Samsung Galaxy A34, Dual SIM, 8GB RAM, 256GB, 5G, Light Violet","1.640,82 Lei"
70,"Telefon mobil Nokia 105 (2023), Dual SIM, Charcoal","105,65 Lei"
71,"Telefon mobil Motorola Edge 40 Neo, Dual SIM, 256GB, 12GB RAM, 5G, Black Beauty","1.599,99 Lei"
